P_Id,PPG_Rate_Mean,HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_SDANN2,HRV_SDNNI2,HRV_SDANN5,HRV_SDNNI5,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_SDRMSSD,HRV_Prc20NN,HRV_Prc80NN,HRV_pNN50,HRV_pNN20,HRV_MinNN,HRV_MaxNN,HRV_HTI,HRV_TINN,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_TP,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,HRV_S,HRV_CSI,HRV_CVI,HRV_CSI_Modified,HRV_PIP,HRV_IALS,HRV_PSS,HRV_PAS,HRV_GI,HRV_SI,HRV_AI,HRV_PI,HRV_C1d,HRV_C1a,HRV_SD1d,HRV_SD1a,HRV_C2d,HRV_C2a,HRV_SD2d,HRV_SD2a,HRV_Cd,HRV_Ca,HRV_SDNNd,HRV_SDNNa,HRV_DFA_alpha1,HRV_MFDFA_alpha1_Width,HRV_MFDFA_alpha1_Peak,HRV_MFDFA_alpha1_Mean,HRV_MFDFA_alpha1_Max,HRV_MFDFA_alpha1_Delta,HRV_MFDFA_alpha1_Asymmetry,HRV_MFDFA_alpha1_Fluctuation,HRV_MFDFA_alpha1_Increment,HRV_DFA_alpha2,HRV_MFDFA_alpha2_Width,HRV_MFDFA_alpha2_Peak,HRV_MFDFA_alpha2_Mean,HRV_MFDFA_alpha2_Max,HRV_MFDFA_alpha2_Delta,HRV_MFDFA_alpha2_Asymmetry,HRV_MFDFA_alpha2_Fluctuation,HRV_MFDFA_alpha2_Increment,HRV_ApEn,HRV_SampEn,HRV_ShanEn,HRV_FuzzyEn,HRV_MSEn,HRV_CMSEn,HRV_RCMSEn,HRV_CD,HRV_HFD,HRV_KFD,HRV_LZC,anxiety_meter
108,84.30013193568867,732.8820754716982,268.535999792016,33.32281037117197,266.3434000441129,,,,,385.7215126332169,386.63860541061007,0.3664109258221121,0.5263077451921013,710.0,235.7334,0.3320188732394366,317.25,0.6961913997453577,502.4,904.8,73.58490566037736,89.15094339622641,310.0,2152.0,30.285714285714285,492.1875,,0.0035766395853096,0.0220458373711402,0.0695204526468003,0.0220945733178483,0.1172375029210986,0.3171129722521292,0.1880442420031516,0.5929881728510368,-2.6661342870162725,273.39477975435216,264.8402604443772,1.0323006754925452,227469.98386493372,0.968710012247998,6.063894206770873,1026.2136477553422,0.6226415094339622,0.6303317535545023,0.8646616541353384,0.2692307692307692,49.92729375076648,50.14659961964989,49.77235121653202,47.39336492890995,0.4863983977986807,0.5136016022013195,190.6718197771838,195.93121363425087,0.5361782003271168,0.4638217996728832,193.92713554253493,180.3680394430034,0.5104973031865527,0.4895026968134473,192.30636593321032,188.3104751848703,0.6021143058644186,2.8288081470819195,1.104104624375592,1.510020464929958,-0.5576391046635019,-0.2248619982722803,-0.3565064085476805,0.0127824181633033,0.8274021222837604,0.4962961275025032,0.3427705235189067,0.5639047716588426,0.5346534235759814,0.8460118340927907,0.185835777391025,-0.5853379916760773,2.4714993876989796e-05,0.0068678815544855,1.0266117545341036,1.8495790401168812,7.4377800064295805,1.4547631711420808,1.096356369505133,1.4246713731478733,2.0738818061882576,1.7074130959400935,1.991726919408552,3.332323745430968,1.1300261042049962,12.0
109,73.04940663548604,837.879746835443,246.79807774687657,,,,,,,332.1220614386637,333.1763299610541,0.294550714083971,0.3963839234604288,821.0,229.803,0.2799062119366626,297.75,0.7430945016955919,644.4,1010.8,82.27848101265823,93.0379746835443,316.0,1740.0,31.6,437.5,,0.0055668725599965,0.0261528941264367,0.0572924075466731,0.0163658887423627,0.1053780629754691,0.4564809762119244,0.2481815796189466,0.543684386759037,-2.859587167589277,235.591242246308,258.13043353500336,0.912682937149141,191050.52069597412,1.0956707519082178,5.988118335629664,1131.3038648067657,0.6518987341772152,0.6624203821656051,0.8846153846153846,0.2571428571428571,49.502441106635,49.63708896296027,49.46175473707177,49.681528662420384,0.4926742540014246,0.5073257459985754,165.36751029612336,167.80840341416234,0.4968794258481611,0.5031205741518391,181.9553032515187,183.09447926034437,0.4949683602027745,0.5050316397972255,173.85934809910364,175.6178359279417,0.6447680239920371,2.012586252121848,0.966679975904593,1.3597602163966822,-1.0062318279211446,-1.27651470332177,-0.3046889965199409,0.0018720352905103,0.2916639315521012,0.673772016566031,0.5954553952212279,1.0431284634667617,0.7454007658561477,1.9139406439004596,0.8953515366699665,-1.0,0.0002321146882873,0.0298778203269518,0.7300082242414572,1.6956156086751526,7.177198469696089,1.3071989743001915,1.1497002095923183,1.3313332110689573,1.7185756209617316,1.7280491717312734,1.9422719892536504,4.412048432065821,1.1094350503560155,10.0
111,96.53714285463003,632.030303030303,210.80659476606044,,,,,,,276.4771495317433,277.181404546957,0.3335387460938771,0.4374428697582361,565.5,83.0256,0.1468180371352785,133.25,0.7624738432202947,509.0,712.4000000000001,54.54545454545454,73.73737373737373,304.0,1563.0,14.142857142857142,265.625,,,0.0639805893222039,0.0755030115582207,0.0133431003270926,0.1528267012075173,0.8473912232344294,0.4186479771969116,0.4940433246393128,-2.5835827353343164,195.996850773965,221.79751725742105,0.8836746830961527,136570.1059841992,1.1316381685806314,5.842325756401649,1003.9781448996756,0.6767676767676768,0.6836734693877551,0.9029850746268656,0.2666666666666666,49.91413676786261,50.553248835423226,49.168828529798056,47.44897959183674,0.4515131017456865,0.5484868982543137,131.6996137629345,145.15515098384506,0.5331474268241196,0.4668525731758803,161.9497713559285,151.54672619135815,0.4973523744061668,0.5026476255938331,147.60168818062965,148.38535654919144,0.6779473978814646,3.6536953292240018,1.3435491851393937,2.163123498401592,-1.8610733651651223,-2.0597895321367283,-0.275686191810562,0.015357536078563,1.361697079677339,0.4724779910602648,1.359517001217921,1.1570382705635538,0.6982967647473802,0.9538888594712454,0.9829334195715422,-0.8374297676345428,0.0049959381814033,0.2609885665510911,0.7703239778218482,0.8948646677014793,6.999718789269518,0.8298470733759047,1.2831344493569063,1.2226410415611502,1.274987654947394,1.2507936380201858,1.9602519422197835,3.451483280421262,0.924770499403589,18.0
112,79.76709327825523,772.91,306.11593675218603,51.2266751878693,289.6818594698364,,,,,400.6837435079664,401.6885368990604,0.3960563801117672,0.5184093148076314,735.5,212.7531,0.2892632222977566,284.5,0.7639839192679896,527.6,935.8000000000002,76.0,88.5,313.0,2561.0,28.571428571428573,320.3125,,0.0087435900598503,0.0445524466884241,0.0768415750710621,0.0166913927959252,0.1468290046152619,0.5797961148925254,0.3034308296590688,0.523340570702711,-2.566009443230149,284.0366883662283,327.371316720353,0.8676285119042914,292122.4526895509,1.1525670102809054,6.172535048326747,1509.2695190564025,0.655,0.6633165829145728,0.8939393939393939,0.2244897959183673,49.61528065591494,49.21424595092447,49.96311105584565,50.75376884422111,0.5130367841567225,0.4869632158432775,203.44870050549287,198.21145351121945,0.5190530245942901,0.4809469754057096,235.85576070456352,227.03312347252185,0.5164691424471792,0.4835308575528205,220.24907899342287,213.11008828387227,0.7225360450104922,4.129432578790571,1.4467217727760988,2.5211976960791205,-1.5326516842920892,-1.7983294832612111,-0.2398005893541638,0.047598484587377,2.4246428715562867,0.5656900612946747,1.0194531383079566,0.67079629696289,0.8219044968646716,-0.6870085537164661,-1.0794242945659698,-0.3517752369151716,6.298187590937393e-05,0.0377563876454474,0.9863074375738607,1.519252194795509,7.44630731475309,1.2564418874020924,1.3644032704183469,1.366967595900562,1.778143659703575,1.6330715525168455,1.948864196242945,2.983582078826941,1.0319205856195877,13.0
113,85.85213865327614,706.4017857142857,162.02280522765085,19.05202857522237,161.35923224014024,,,,,210.84644700645688,211.32035235211976,0.2293635272507412,0.2984794932154047,737.5,98.5929,0.1336852881355932,153.25,0.7684398173552771,580.6,798.4,53.57142857142857,75.44642857142857,325.0,1417.0,17.23076923076923,476.5625,,0.0038814016031064,0.0395817579463033,0.103899683640595,0.0247385602070863,0.1721014033970912,0.3809612941962631,0.2299909074824684,0.6037120069315548,-2.264329425726682,149.42605415091447,174.1474545868474,0.8580432858201533,81751.04861277572,1.1654423693137563,5.619463441983061,811.8352883346208,0.6071428571428571,0.6108597285067873,0.8592592592592593,0.2033898305084746,49.83553758651407,50.11986878760922,49.66066797569113,46.60633484162896,0.4744013811944595,0.5255986188055403,102.92010152199276,108.33139637908045,0.5313022470920692,0.468697752907931,126.93692029015142,119.22396657690028,0.5071738214509752,0.4928261785490251,115.55416269015484,113.90795768463956,0.6120503568303682,2.7596483155174347,1.2136234475492795,1.4545887282451575,-1.2258487177755717,-0.9450087682355804,-0.4126826127296959,0.0032341806113929,0.5396818687671531,0.6309856460916181,1.7152649801077984,0.942902842091932,1.1975604641610993,-0.2126662961851142,-0.4854284864947251,-0.351534529636836,0.0022040560595006,0.2480116038353652,0.7961391451632687,1.0959562446099933,7.349634721106797,1.030697192589993,1.5421346801588145,1.2956895051979118,1.5481048184065829,1.421027220914077,1.9118331581794747,3.106761242873578,0.9410651022123006,12.0
114,91.51500770257655,663.115523465704,148.20413242161823,21.813457129297685,148.7888019992449,,,,,210.09905358863608,210.48047909886188,0.223496701822097,0.3168362768685844,660.0,111.195,0.1684772727272727,140.0,0.7054012376076422,559.6,757.0,59.92779783393502,81.58844765342961,332.0,1369.0,21.307692307692307,312.5,,0.0049954864136518,0.0487851971232908,0.0923754482975571,0.0439146238287598,0.1900707556632597,0.5281186508145036,0.2566686124493632,0.4860055823696245,-2.381894046707337,148.83217407819862,148.0606020879477,1.005211190413724,69228.70529805895,0.9948158253077354,5.547256319557244,589.1721202467276,0.6462093862815884,0.6521739130434783,0.8722222222222222,0.2539682539682539,49.8902290983289,49.9612910091699,49.87575761048351,46.3768115942029,0.4843034420263832,0.5156965579736167,103.57526907344418,106.87949884204768,0.5437055844203439,0.4562944155796562,109.17454935690036,100.01429729475336,0.5138501066608663,0.4861498933391338,106.41174416134396,103.50383310798344,0.6126012265093282,3.540927646294642,1.2174402658550083,1.9450631406808443,-1.8703823347252675,-1.8353761340964616,-0.2945106628803197,0.010283111700845,1.1170515868034343,0.5715421369602773,0.741671426927105,0.6841099901049613,0.5240692532926154,0.6085393267328332,0.7166200045988125,-0.7157838781459157,5.80509959244898e-05,0.0252834328096287,0.9756184968279102,1.4797175501137425,7.549108129970098,1.167703868375952,1.1753222364301843,1.3905016172290714,1.8836232231533827,1.7051965396570772,1.9688969874782305,3.5540745106297176,1.0837850546708303,11.0
115,95.1927437189026,637.007434944238,178.9930790074718,66.37254354508082,166.41787002805484,,,,,224.8967009971533,225.31721661910507,0.2809905649266722,0.353051924765745,591.0,130.4688,0.2207593908629441,189.0,0.7958901940928758,507.0,731.6,55.762081784386616,76.95167286245353,355.0,1620.0,22.416666666666668,148.4375,,0.0045123809979581,0.020058835168312,0.0501112127618436,0.0056699751043038,0.0803524040324176,0.4002863643241434,0.2496357814038694,0.6236429807579449,-2.9935104883108776,159.32333178944745,197.2740344933449,0.8076244407868195,98741.37692625215,1.2381992786470908,5.701469289026221,977.058268821844,0.654275092936803,0.6578947368421053,0.8628571428571429,0.3387096774193548,50.127044851114846,50.23617616928687,49.95617038276573,53.00751879699248,0.4896622622794687,0.5103377377205314,111.48801181753228,113.81740913288635,0.5484269282357428,0.4515730717642572,146.0929679100334,132.56654710944014,0.5252285252347237,0.4747714747652763,129.94755105770224,123.54815262528668,0.664284866033274,1.946795774149606,1.2443528062657416,1.1844896964427514,0.4121274571360551,0.4067362712708444,-0.5307495581292493,0.0039933954712295,0.3907423548198153,0.49678492132406,1.4106770757843323,0.6304289368421088,1.134433791604462,-1.3084856991464964,-2.1477882474203724,-0.1427213120464669,0.0006953352552594,0.1352245301449188,0.9952699089996768,1.1525700827894008,7.409090371832738,0.9879645332592718,1.07854271699395,1.3456832184845169,1.5799010039873878,1.4329869618782822,1.951249056412536,2.69563568662162,0.9001630887609617,18.0
116,83.59480407435476,747.4688995215311,333.1547634116602,62.39738034730113,320.7286087440576,,,,,452.359753021692,453.4508265302984,0.4457105354148097,0.6051887286698563,673.0,305.4156,0.4538121842496285,445.0,0.7364818845758023,468.6,1014.4,88.99521531100478,96.17224880382776,302.0,2292.0,41.8,187.5,,0.0121214064764681,0.0555334796914397,0.099506877726548,0.0129511267176028,0.1801128906120587,0.5580868474644503,0.308325958806869,0.5524694950394959,-2.307528514326586,320.6381543742188,346.64036425548886,0.9249879340015196,349175.85488473205,1.0810951832355007,6.2500143150615655,1499.0049124464338,0.6602870813397129,0.6666666666666666,0.8985507246376812,0.2777777777777778,49.93003923290077,49.950801036452766,49.89686975343408,50.72463768115942,0.5015327431605701,0.4984672568394299,227.07279260205664,226.3777677242329,0.4361572926525545,0.5638427073474456,228.9289422119998,260.2903792860444,0.4663013782479396,0.5336986217520605,228.00275625790337,243.92414319689595,0.6921403531496294,1.8544138889191788,0.889933548407313,1.4209174098315656,-1.4097922166099135,-1.9007093027905797,-0.2136648595024654,0.0015406818721505,0.2389846919176697,0.5200058380599122,0.7693138075052632,0.6140682870643523,0.9046627418125438,-0.9818913468133434,-1.9905442510739957,-0.1222679849065319,0.0001863033815331,0.0362926994108775,1.0271496758381158,1.992430164690206,7.531498426328904,1.5626008983081627,1.3776372908231818,1.3910380788007386,1.798352456761896,1.830452526860601,1.9907520880033251,3.8284096865937,1.1431968090646285,9.0
117,84.73595244511621,722.5,235.0537431358245,,,,,,,295.84195927025775,296.64355220075095,0.3253339005340132,0.4094698398204259,712.5,195.7032,0.2746711578947368,273.5,0.7945246972931856,532.0,871.0,71.50537634408603,80.10752688172043,306.0,1700.0,31.0,492.1875,,,0.051914307672211,0.0953175375221594,0.0269460213954082,0.1741778665897787,0.5446459174434926,0.2980534133793182,0.5472425365425446,-2.350541460885552,209.7586673564166,258.7924140547167,0.8105286552644745,170538.0644782237,1.2337626726765154,5.938791439611786,1277.1536817302188,0.5806451612903226,0.5869565217391304,0.8518518518518519,0.2244897959183673,49.79388436652055,49.78885789809587,49.88151137558076,48.91304347826087,0.5069734065496451,0.493026593450355,149.35312510376497,147.28445009277266,0.4908214366465453,0.5091785633534546,181.3064702342623,184.6658534311649,0.4972254653255837,0.5027745346744162,166.09995804796026,167.02422977309448,0.7123314619785364,3.713965600798327,1.2681044431203272,2.3551856727629845,-2.5544660616265773,-3.10206871285049,-0.2072990580717855,0.0163160278749355,1.4227132100722075,0.7474839205685333,0.1375027538216249,0.8192521662046626,0.8162352974793458,0.9091857288366044,-0.0886004968153402,-0.5219404240385647,8.529850255436941e-05,0.0033420895563699,0.89573841995507,1.6279324950702647,7.283729913235307,1.3404615843003589,1.5226502002971132,1.3745810931105324,2.1324457017159317,1.7001348721994891,1.9062116047008304,3.78124888759322,1.0538609090796172,15.0
118,95.69240523521162,633.9083665338645,141.9933363567499,47.57597387313404,139.71692532939005,,,,,191.9843639466506,192.3690625044353,0.2239966276721548,0.3028582269648818,619.0,114.1602,0.1844268174474959,165.5,0.7396088589600327,540.0,734.0,52.589641434262944,78.08764940239044,301.0,1211.0,17.928571428571427,273.4375,,0.0011134738376662,0.0188274185821062,0.0589798117995454,0.0281736453572607,0.1070943495765787,0.3192180172784373,0.1758021656282022,0.5507275783711769,-2.830560066519978,136.025468587385,148.19694540207644,0.9178695837375817,63329.980677688094,1.0894793963299032,5.508579465483588,645.8300744583595,0.6055776892430279,0.6104417670682731,0.8486842105263158,0.1666666666666666,50.162887462503626,50.26278518938309,50.092585388448406,50.60240963855421,0.5010405883163044,0.4989594116836953,96.28478091653206,96.08460336607558,0.4913585267135088,0.5086414732864915,103.88156903546016,105.69273504473684,0.4957857046980706,0.504214295301929,100.15522807475816,101.00298323627132,0.664039916914003,2.6486182018149425,1.203633552271013,1.710896216447975,-1.2817595595451312,-1.7231446103877488,-0.308480261960986,0.0048478050735783,0.6161669615772791,0.5258229672700098,0.6027534741621805,0.6012040974543765,0.7175869943301163,0.4229338528572537,-0.2650900655899852,-0.3069145979830137,0.0001886777890455,0.0249512868399579,0.9419643017534144,1.4782730553332122,7.440530755085654,1.2016253848499967,1.1091628199027852,1.391278624849585,1.844227636754901,1.6282566295754066,1.970909954333549,3.383931078050586,0.984533267619418,14.0
